iter	Passed	Remaining
142	375	2248
143	376	2239
144	378	2229
145	379	2220
146	381	2211
147	382	2201
148	384	2194
149	386	2188
150	387	2180
151	389	2171
152	390	2162
153	392	2154
154	393	2145
155	395	2137
156	396	2129
157	398	2121
158	400	2117
159	401	2110
160	402	2099
161	404	2091
162	405	2083
163	407	2076
164	408	2068
165	410	2060
166	411	2053
167	413	2048
168	415	2042
169	416	2035
170	418	2028
171	419	2021
172	421	2014
173	422	2007
174	424	2000
175	425	1992
176	427	1987
177	429	1981
178	430	1974
179	432	1968
180	433	1961
181	434	1954
182	436	1947
183	437	1941
184	439	1934
185	440	1927
186	442	1922
187	443	1916
188	445	1911
189	447	1906
190	449	1902
191	450	1897
192	452	1891
193	453	1885
194	455	1880
195	457	1874
196	458	1869
197	460	1863
198	461	1858
199	463	1852
200	464	1846
201	465	1840
202	467	1835
203	468	1829
204	470	1825
205	472	1821
206	474	1817
207	475	1812
208	477	1806
209	478	1801
210	480	1796
211	481	1790
212	483	1785
213	485	1781
214	486	1776
215	488	1772
216	490	1768
217	491	1764
218	493	1760
219	495	1755
220	496	1750
221	498	1745
222	499	1740
223	501	1736
224	502	1731
225	505	1730
226	507	1727
227	508	1722
228	510	1717
229	511	1713
230	513	1709
231	514	1704
232	516	1700
233	518	1696
234	519	1692
235	521	1687
236	522	1683
237	524	1678
238	525	1673
239	527	1669
240	528	1664
241	530	1660
242	531	1656
243	533	1653
244	535	1649
245	536	1644
246	538	1640
247	539	1635
248	541	1631
249	542	1627
250	543	1623
251	545	1618
252	546	1614
253	548	1611
254	550	1607
255	551	1603
256	553	1599
257	555	1596
258	556	1592
259	558	1588
260	559	1585
261	561	1581
262	563	1578
263	564	1574
264	566	1570
265	567	1566
266	569	1562
267	570	1558
268	572	1554
269	573	1550
270	574	1546
271	576	1543
272	578	1539
273	579	1536
274	581	1532
275	582	1528
276	584	1525
277	585	1521
278	587	1517
279	588	1513
280	590	1510
281	591	1506
282	593	1503
283	594	1499
284	596	1496
285	598	1493
286	599	1490
287	601	1486
288	603	1483
289	604	1480
290	606	1477
291	608	1474
292	609	1471
293	611	1468
294	613	1465
295	614	1462
296	616	1458
297	617	1455
298	619	1452
299	621	1449
300	623	1446
301	624	1443
302	626	1440
303	627	1437
304	629	1433
305	631	1431
306	632	1428
307	634	1425
308	636	1422
309	638	1421
310	640	1418
311	642	1416
312	644	1414
313	646	1411
314	647	1408
315	649	1405
316	651	1403
317	653	1401
318	655	1398
319	656	1395
320	658	1392
321	659	1389
322	661	1386
323	662	1383
324	665	1381
325	666	1378
326	668	1375
327	669	1372
328	671	1369
329	672	1366
330	674	1363
331	675	1359
332	677	1356
333	679	1354
334	681	1352
335	682	1349
336	684	1346
337	686	1344
338	688	1342
339	690	1339
340	691	1337
341	695	1337
342	697	1335
343	698	1332
344	700	1330
345	702	1328
346	704	1326
347	706	1323
348	708	1321
349	710	1318
350	711	1316
351	713	1314
352	715	1311
353	716	1308
354	718	1305
355	720	1302
356	721	1300
357	724	1298
358	726	1296
359	728	1294
360	730	1292
361	731	1289
362	733	1287
363	735	1284
364	737	1283
365	739	1281
366	741	1278
367	743	1276
368	745	1274
369	746	1271
370	748	1268
371	750	1266
372	751	1263
373	753	1261
374	755	1259
375	757	1257
376	759	1255
377	761	1252
378	762	1250
379	765	1248
380	767	1246
381	769	1244
382	771	1242
383	773	1240
384	775	1238
385	777	1236
386	779	1234
387	781	1232
388	783	1230
389	785	1228
390	787	1226
391	789	1223
392	790	1221
393	792	1219
394	794	1216
395	796	1214
396	798	1212
397	800	1210
398	801	1207
399	803	1205
400	805	1202
401	806	1200
402	808	1197
403	810	1195
404	812	1192
405	813	1190
406	814	1187
407	816	1184
408	817	1181
409	819	1179
410	821	1176
411	822	1174
412	824	1171
413	826	1169
414	827	1167
415	829	1164
416	831	1162
417	832	1159
418	834	1157
419	836	1154
420	837	1151
421	839	1149
422	840	1146
423	842	1144
424	843	1141
425	845	1138
426	846	1135
427	847	1133
428	849	1130
429	850	1128
430	852	1125
431	853	1122
432	855	1120
433	857	1117
434	858	1115
435	860	1112
436	861	1109
437	863	1107
438	864	1104
439	865	1102
440	867	1099
441	868	1096
442	870	1094
443	872	1092
444	873	1089
445	875	1086
446	876	1084
447	878	1081
448	879	1079
449	880	1076
450	882	1074
451	883	1071
452	885	1069
453	887	1066
454	888	1064
